,Hotel_Name,Location,Destination,Facilities,Original Price,Current Price,Taxes and Charges,Discount,Price per Day,Hotel_Rating,Rating_Category,Preferred_Hotel,Reviews_available,Free_cancellation,pay at the property,Breakfast included?
397,StayhomeStays Prime,Bangalore,Bangalore,"Apartment with BalconyEntire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 28m²2 beds (1 sofa bed, 1 large double)No prepayment needed – ",0.0,87780.0,10534.0,0.0,3511.21,8.2,Very Good,YES,91.0,YES,YES,NO
398,Olive Zip Domlur by Embassy Group,Bangalore,Bangalore,Standard Twin Room1 single bedNo prepayment needed – ,0.0,57758.0,6931.0,0.0,2310.32,8.4,Very Good,YES,235.0,YES,YES,NO
399,BLVD Club - Near BENGALURU AIRPORT,Bangalore,Bangalore,Deluxe Room1 double bed,0.0,310586.0,55905.0,0.0,13088.96,8.5,Very Good,YES,165.0,YES,NO,YES
400,Elite Peak Serviced Apartments,"Arekere, Bangalore",Bangalore,"Two-Bedroom ApartmentEntire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 111m²3 beds (2 extra-large doubles, 1 sofa bed)No prepayment needed – ",0.0,100800.0,12096.0,0.0,4032.0,8.7,Fabulous,YES,44.0,YES,YES,NO
401,Hotel The Black Stone,"Koramangala, Bangalore",Bangalore,Superior Deluxe Double or Twin Room 1 double bedNo prepayment needed – ,0.0,83300.0,9996.0,0.0,3332.0,7.7,Good,YES,132.0,YES,YES,NO
402,Taj MG Road Bengaluru,"MG Road, Bangalore",Bangalore,Deluxe Room City View  King Bed1 extra-large double bed,0.0,366000.0,65880.0,0.0,15424.29,8.7,Fabulous,YES,615.0,YES,NO,NO
403,Taj Yeshwantpur Bengaluru,"Yeshwantpur, Bangalore",Bangalore,Superior Queen Room1 large double bed,0.0,323100.0,58158.0,0.0,13616.36,8.8,Fabulous,YES,0.0,YES,NO,YES
404,Ixora Suites,"Indiranagar, Bangalore",Bangalore,Queen StudioEntire studio • 1 bathroom1 large double bed,0.0,113050.0,13566.0,0.0,4522.0,8.1,Very Good,YES,18.0,NO,NO,NO
405,Olive Hotel HAL 2nd Stage by Embassy Group,Bangalore,Bangalore,Standard Queen Room1 double bedNo prepayment needed – ,0.0,67052.0,8046.0,0.0,2682.07,7.8,Good,YES,351.0,YES,YES,NO
406,FabExpress Sri Sai Suites,Bangalore,Bangalore,Deluxe Room1 double bedNo prepayment needed – ,94322.0,60366.0,7958.0,33956.0,2440.14,7.6,Good,YES,153.0,YES,YES,NO
407,City Keys Bangalore By Bestinn Leisure,"Electronic City, Bangalore",Bangalore,Standard Double Room1 large double bedNo prepayment needed – ,0.0,98000.0,11760.0,0.0,3920.0,7.9,Good,No,60.0,YES,YES,NO
408,"MJ Avyanna Resort & Convention Centre, Bengaluru",Bangalore,Bangalore,Deluxe Twin Room2 single bedsNo prepayment needed – ,147200.0,125120.0,15014.0,22080.0,5004.79,7.9,Good,No,0.0,YES,YES,YES
